epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,6789.7,1.37147,0.76034,1.19217,0.89015,0.92887,0.95547,0.66848,1.38894,0.6078,1.22503,0.005842,0.005842,0.005842
44,6947.14,1.37037,0.757,1.18724,0.89122,0.92557,0.95489,0.6686,1.38765,0.60656,1.22351,0.005743,0.005743,0.005743
45,7104.89,1.36299,0.75252,1.18626,0.89083,0.92345,0.95488,0.66844,1.38667,0.60568,1.22261,0.005644,0.005644,0.005644
46,7262.28,1.35863,0.74795,1.18343,0.89232,0.92185,0.95482,0.66936,1.38597,0.60411,1.22188,0.005545,0.005545,0.005545
47,7419.65,1.36204,0.74774,1.19004,0.89017,0.92465,0.95534,0.67053,1.38497,0.60326,1.22136,0.005446,0.005446,0.005446
48,7576.74,1.35367,0.74177,1.18114,0.89067,0.92209,0.95532,0.67101,1.38373,0.60196,1.22027,0.005347,0.005347,0.005347
49,7734.14,1.35575,0.74132,1.18133,0.88867,0.92624,0.95568,0.67254,1.38301,0.60067,1.21971,0.005248,0.005248,0.005248
50,7891.63,1.34243,0.73194,1.17404,0.8879,0.92539,0.95568,0.67251,1.38194,0.59964,1.21869,0.005149,0.005149,0.005149
51,8048.76,1.34194,0.73131,1.17271,0.88845,0.92509,0.95575,0.67271,1.38103,0.59876,1.21763,0.00505,0.00505,0.00505
52,8206.06,1.34307,0.73138,1.17358,0.8874,0.92617,0.95576,0.67313,1.38023,0.59744,1.21675,0.004951,0.004951,0.004951
53,8363.38,1.33976,0.72514,1.17497,0.88773,0.92599,0.95565,0.67341,1.37965,0.59654,1.21617,0.004852,0.004852,0.004852
54,8520.53,1.3351,0.72087,1.17256,0.89408,0.9207,0.95584,0.67295,1.37904,0.59606,1.21568,0.004753,0.004753,0.004753
